Label,Sentence
None,"We  offer you the opportunity to sign in to a Booking.com user account with  your social media account , which saves you from having to remember  different user names and passwords for different online services ."
None,"After you 've signed in once , you 'll always be able to use your social media account to sign in to your Booking.com account ."
None,You can decouple these accounts from each other at any time too .
None,Integration of social media plugins .
None,This  means that when you click on one of the buttons ( such as Facebook 's  â€˜ Like ' button ) certain information is shared with these social  media providers .
None,Other social media services and features .
None,"It  means that if you want us to we can tailor our services to suit your  needs , connecting you and your friends with the best travel  destinations and analysing and enhancing our travel-related services ."
None,"Your  social media provider will be able to tell you more about how they use  and process your data whenever you connect with Booking.com through them  , for instance by combining personal data they collect when you use  Booking.com through them with information they collect when you use  other online platforms linked with your social media provider ."
None,What security and retention procedures does Booking.com put in place to safeguard your personal data ?
None,"We observe reasonable procedures to prevent unauthorised access to , and the misuse of , personal data ."
None,We use appropriate business systems and procedures to protect and safeguard the personal data you give us .
None,We  also use security procedures and technical and physical restrictions  for accessing and using the personal data on our servers .
None,Only authorized personnel are permitted to access personal data in the course of their work .
None,How does Booking.com treat personal data of children ?
None,How can you control the personal data you have given to Booking.com ?
None,Please write ' Request personal information ' in the subject line of your email to speed things along a bit .
None,We will handle your request in accordance with the applicable Dutch data protection law .
None,Who is responsible for the processing of personal data via Booking.com and how to contact us ?
None,Cookie Statement
None,"Whenever  you use our online services , including our applications , cookies and  other tracking technologies can be used in various ways , such as making  the Booking.com website work , to analyse traffic , or for  advertisement purposes ."
None,"These  technologies are either used by us directly , or by our business  partners , including third party service providers and advertisers we  work with ."
None,"If you want to learn more about what a cookie is , how they are used and what your choices are , please read more here ."
None,What is a cookie ?
None,How are cookies used ?
None,What are your choices ?
None,What is a cookie ?
None,A cookie is a small amount of data that is placed in the browser of your computer or on your mobile device .
None,So-called  â€œ first party cookies â€� ( not as much fun as they sound ) are  cookies which are served by the entity operating the domain through  which the cookie is served .
None,Booking.com 's own cookies are therefore â€œ first party cookies â€� .
None,"In  case we allow others to service cookies through the Booking.com  websites and apps , these cookies are so-called â€œ third party cookies  â€� ."
None,"In addition , there is a difference between session cookies and permanent cookies ."
None,Session cookies will only exist until you close your browser .
None,Permanent cookies have a longer lifespan and are not automatically deleted once you close your browser .
None,We strive to serve cookies or allow the serving of cookies with a maximum lifespan of 5 years .
None,"Only  in exceptional circumstances , such as for security purposes and where  absolutely necessary , will a cookie have a longer lifespan than that ."
None,"Next to cookies , other tracking technologies are used which are similar to cookies ."
None,"These  can include web beacons ( also known as pixel tags , web bugs or gifs )  , tracking URLs or software development kits ( SDKs ) ."
None,"A  web beacon is a tiny graphic image of just one pixel that can be  delivered to your computer as part of a web page request , in an app ,  in an advertisement or in an HTML email message ."
None,"Pixels  can be used to retrieve information from your device , such as your  device type or operating system , IP address , and time of visit ."
None,They are also used to serve and read cookies in your browser .
None,Tracking URLs are used to understand from which referring website the Booking.com websites or apps are used .
None,"SDKs are small pieces of code included in apps , which function like cookies and web beacons ."
None,All these technologies are together referred to in this Cookie Statement as â€œ cookies â€� .
None,How are cookies used ?
None,Cookies are used for different purposes .
None,"They allow you to be recognised as the same user across the pages of a website , between websites or when you use an app ."
None,The  types of information that we collect through cookies include IP address  ; device ID ; viewed pages ; browser type ; browsing information ;  operating system ; internet service provider ; timestamp ; whether you  have responded to an advertisement ; the referring URL ; and features  used or activities engaged in within the website/apps .
None,Our website and apps use cookies for different purposes :
None,"Technical  cookies : We try to give our visitors an advanced , user-friendly  website and apps that adapt automatically to their needs and wishes ."
None,"To  achieve this , we use technical cookies to show you our website , to  make them function correctly , to create your user account , to sign you  in and to manage your bookings ."
None,These technical cookies are absolutely necessary for our website to function properly .
None,Functional  cookies : We also use functional cookies to remember your preferences  and to help you to use our website and apps efficiently and effectively .
None,"If  you are using the Booking.com websites or apps to search for a Trip ,  for example , these cookies remember your preferred currency , language ,  your searches and your previously viewed Trip Providers ."
None,We  may also use cookies to remember your registration information so that  you do not have to retype your login credentials each time you visit our  site .
None,"Passwords will , however , always be encrypted ."
None,"These  functional cookies are not strictly necessary for the functioning of  our website or apps , but they add functionality and enhance your  Booking.com experience ."
None,Analytics cookies : We use these cookies to gain insight into how our visitors use Booking.com .
None,"This  means we can find out what works and what does not , optimize and  improve our websites or apps , understand the effectiveness of  advertisements and communications , and ensure we continue to be  interesting and relevant ."
None,"The  data we gather can include which web pages you have viewed , which  referring/exit pages you have entered and left from , which platform  type you have used , which emails you have opened and acted upon , and  date and time stamp information ."
None,"It  also means we can use details about how you 've interacted with the  site , such as the number of clicks you make on a given page , your  mouse movements and scrolling activity , the search words you use and  the text you enter into various fields ."
None,We  make use of analytics cookies as part of our online advertising  campaigns to learn how users interact with our website or apps after  they have been shown an online advertisement .
None,This may include advertisements on third-party websites .
None,Analytics  cookies may also be used to enable our business partners to learn if  their customers make use of accommodation offers integrated into their  websites .
None,Commercial  cookies : We use third-party cookies as well as our own to display  personalized advertisements on our websites and on other websites .
None,"This  is called â€œ retargeting , â€� and it is based on browsing activities ,  such as the destinations you have been searching for , the  accommodation you have viewed and the prices you have been shown ."
None,What are your choices ?
None,"To  learn more about cookies and how to manage or delete them , simply  visit allaboutcookies.org and the help section of your browser ."
None,"In  the settings for browsers such as Internet Explorer , Safari , Firefox  or Chrome , you can set which cookies to accept and which to reject ."
None,Where you find these settings depends on which browser you use .
None,"Use the "" Help "" function in your browser to locate the settings you need ."
None,"If  you choose not to accept certain technical and/or functional cookies ,  you may not be able to use some functions on our website ."
None,We currently do not support â€œ Do Not Track â€� browser settings .
None,"In  case a common standard has been developed which defines what exactly is  meant by â€œ Do Not Track â€� browser signals , we will review this  Cookie Statement again ."
None,Advertising .
None,"When  it comes to online advertising and marketing companies , we strive to  work with companies that are members of the Network Advertising  Initiative ( NAI ) and/or the Interactive Advertising Bureau ( IAB ) ."
None,Members of NAI and IAB adhere to industry standards and codes of conduct .
None,NAI and IAB members allow you to opt out of behavioural advertising .
None,Visit www.networkadvertising.org to identify the NAI members that may have placed an advertising cookie file on your computer .
None,"To  opt out of an NAI member 's behavioural advertising program , simply  check the box that corresponds to the company from which you wish to opt  out ."
None,You  may also want to visit www.youronlinechoices.com or  www.youradchoices.com to learn how to opt out of customized  advertisement .
None,Your mobile device may allow you to limit the sharing of information for retargeting purposes through its settings .
None,Please  be aware that opting out of an online advertising network does not mean  that you will no longer receive or be subject to online advertising or  marketing analysis .
None,It  means that the network from which you opted out will no longer deliver  ads tailored to your web preferences and browsing patterns .
None,Analytics .
None,"In  order to control the collection of data for analytical purposes through  Google Analytics from certain browser types , you may want to visit the  following link : Google Analytics Opt-out Browser Add-on ( only for  desktop ) ."
None,"In  order to control the collection of data for analytical purposes by  Yandex.Metrica ( a tracking pixel owned by Russian search engine YANDEX )  , users with language setting Russian , Ukrainian or Turkish may want  to visit the following link : yandex.com ."
None,Yandex.Metrica is not used for users with any other languages .
None,You also have an option to opt-out from Yandex personalized advertisement .
None,"In order to do so , please , visit this page and untick the box â€œ Consider my interests â€� ."
None,"If you have any questions about this Cookie Statement , please send an email to dataprotectionoffice@booking.com ."
None,Our Cookie Statement may also be amended from time to time .
None,So visit this page regularly to keep abreast of updates .
Unclear language clause,"When you use Twitter , even if you 're just looking at Tweets , we  receive some personal information from you like the type of device you  're using and your IP address ."
Insufficient information clause for categories,"You can choose to share additional information with us like your email  address , phone number , address book contacts , and a public profile ."
Insufficient information clause for categories,"We use this information for things like keeping your account secure  and showing you more relevant Tweets , people to follow , events , and  ads ."
Full information clause for categories,"We give you control through your settings to limit the data we collect  from you and how we use it , and to control things like account  security , marketing preferences , apps that can access your account ,  and address book contacts you 've uploaded to Twitter ."
Full information clause for categories,You can also always download the information you have shared on Twitter .
Full information clause for categories,"In addition to information you share with us , we use your Tweets ,  content you 've read , Liked , or Retweeted , and other information to  determine what topics you 're interested in , your age , the languages  you speak , and other signals to show you more relevant content ."
Insufficient information clause for categories,"We give you transparency into that information , and you can modify or correct it at any time ."
Full information clause for categories,We require certain information to provide our services to you .
Full information clause for categories,"When you choose to share the information below with us , we collect and use it to operate our services ."
Full information clause for categories,"If you do choose to create an account , you must provide us with some personal data so that we can provide our services to you ."
Insufficient information clause for categories,"On Twitter this includes a display name ( for example , â€œ Twitter  Moments â€� ) , a username ( for example , @TwitterMoments ) , a  password , and an email address or phone number ."
Insufficient information clause for categories,"Most activity on Twitter is public , including your profile  information , your time zone and language , when you created your  account , and your Tweets and certain information about your Tweets like  the date , time , and application and version of Twitter you Tweeted  from ."
Full information clause for categories,You also may choose to publish your location in your Tweets or your Twitter profile .
Full information clause for categories,"The lists you create , people you follow and who follow you , and Tweets you Like or Retweet are also public ."
Insufficient information clause for categories,"Periscope broadcasts you create , click on , or otherwise engage with ,  either on Periscope or on Twitter , are public along with when you took  those actions ."
Insufficient information clause for categories,"So are your hearts , comments , the number of hearts you 've received ,  which accounts you are a Superfan of , and whether you watched a  broadcast live or on replay ."
Full information clause for categories,Information posted about you by other people who use our services may also be public .
Full information clause for categories,"For example , other people may tag you in a photo ( if your settings allow ) or mention you in a Tweet ."
Problematic processing clause for categories,"You are responsible for your Tweets and other information you provide  through our services , and you should think carefully about what you  make public , especially if it is sensitive information ."
Problematic processing clause for categories,"In addition to providing your public information to the world directly  on Twitter , we also use technology like application programming  interfaces ( APIs ) and embeds to make that information available to  websites , apps , and others for their use - for example , displaying  Tweets on a news website or analyzing what people say on Twitter ."
Problematic processing clause for categories,We generally make this content available in limited quantities for free and charge licensing fees for large-scale access .
Full information clause for categories,"We use your contact information , such as your email address or phone  number , to authenticate your account and keep it - and our services -  secure , and to help prevent spam , fraud , and abuse ."
Insufficient information clause for categories,"We also use contact information to personalize our services , enable  certain account features ( for example , for login verification or  Twitter via SMS ) , and to send you information about our services ."
Problematic processing clause for categories,"If you provide us with your phone number , you agree to receive text  messages from Twitter to that number as your country 's laws allow ."
Full information clause for categories,"Twitter also uses your contact information to market to you as your  country 's laws allow , and to help others find your account if your  settings permit , including through third-party services and client  applications ."
Full information clause for categories,You can choose to upload and sync your address book on Twitter so that  we can help you find and connect with people you know and help others  find and connect with you .
Full information clause for categories,We also use this information to better recommend content to you and others .
Unclear language clause,"If you do , we will use information from that service , including your  email address , friends , or contacts list , to recommend other  accounts or content to you or to recommend your account or content to  others ."
Full information clause for categories,"If you email us , we will keep the content of your message , your  email address , and your contact information to respond to your request ."
Insufficient information clause for categories,"When you communicate with others by sending or receiving Direct  Messages , we will store and process your communications and information  related to them ."
Insufficient information clause for categories,"This includes link scanning for malicious content , link shortening to  http://t.co URLs , detection of spam and prohibited images , and review  of reported issues ."
Full information clause for categories,"We also use information about whom you have communicated with and when  ( but not the content of those communications ) to better understand  the use of our services , to protect the safety and integrity of our  platform , and to show more relevant content ."
Full information clause for categories,"You may provide us with payment information , including your credit or  debit card number , card expiration date , CVV code , and billing  address , in order to purchase advertising or other offerings provided  as part of our services ."
Full information clause for categories,Your Privacy and safety settings let you decide :
Full information clause for categories,Whether your Tweets are publicly available on Twitter
Full information clause for categories,Whether others can tag you in a photo
Full information clause for categories,Whether you will be able to receive Direct Messages from anyone on Twitter or just your followers
Full information clause for categories,Whether others can find you based on your email or phone number
Full information clause for categories,Whether you upload your address book to Twitter for storage and use
Full information clause for categories,When and where you may see sensitive content on Twitter
Full information clause for categories,Whether you want to block or mute other Twitter accounts
Insufficient information clause for categories,"We receive certain information when you use our services or other  websites or mobile applications that include our content , and from  third parties including advertisers ."
Insufficient information clause for categories,"Like the information you share with us , we use the data below to operate our services ."
Full information clause for categories,"We require information about your signup and current location , which  we get from signals such as your IP address or device settings , to  securely and reliably set up and maintain your account and to provide  our services to you ."
Unclear language clause,"Subject to your settings , we may collect , use , and store additional  information about your location - such as your current precise position  or places where you 've previously used Twitter - to operate or  personalize our services including with more relevant content like local  trends , stories , ads , and suggestions for people to follow ."
Full information clause for categories,"In order to operate our services , we keep track of how you interact with links across our services ."
Full information clause for categories,This includes links in emails we send you and links in Tweets that appear on other websites or mobile applications .
Problematic processing clause for categories,"If you click on an external link or ad on our services , that  advertiser or website operator might figure out that you came from  Twitter or Periscope , along with other information associated with the  ad you clicked such as characteristics of the audience it was intended  to reach ."
Problematic processing clause for categories,"They may also collect other personal data from you , such as cookie identifiers or your IP address ."
Insufficient information clause for categories,"We receive information when you view content on or otherwise interact  with our services , which we refer to as â€œ Log Data , â€� even if you  have not created an account ."
Unclear language clause,"For example , when you visit our websites , sign into our services ,  interact with our email notifications , use your account to authenticate  to a third-party service , or visit a third-party service that includes  Twitter content , we may receive information about you ."
Unclear language clause,"This Log Data includes information such as your IP address , browser  type , operating system , the referring web page , pages visited ,  location , your mobile carrier , device information ( including device  and application IDs ) , search terms , and cookie information ."
Insufficient information clause for categories,"We also receive Log Data when you click on , view , or interact with  links on our services , including when you install another application  through Twitter ."
Full information clause for categories,"We use Log Data to operate our services and ensure their secure , reliable , and robust performance ."
Unclear language clause,"We also use this data to improve the content we show you , including ads ."
Insufficient information clause for categories,"We use information you provide to us and data we receive , including  Log Data and data from third parties , to make inferences like what  topics you may be interested in , how old you are , and what languages  you speak ."
Insufficient information clause for categories,"This helps us better design our services for you and personalize the content we show you , including ads ."
Unclear language clause,"When you view our content on third-party websites that integrate  Twitter content such as embedded timelines or Tweet buttons , we may  receive Log Data that includes the web page you visited ."
Insufficient information clause for categories,"We use this information to better understand the use of our services ,  to protect the safety and integrity of our platform , and to show more  relevant content , including ads ."
Full information clause for categories,"We use the information described in this Privacy Policy to help make  our advertising more relevant to you , to measure its effectiveness ,  and to help recognize your devices to serve you ads on and off of  Twitter ."
Unclear language clause,"Our ad partners and affiliates share information with us such as  browser cookie IDs , mobile device IDs , hashed email addresses ,  demographic or interest data , and content viewed or actions taken on a  website or app ."
Insufficient information clause for categories,"Some of our ad partners , particularly our advertisers , also enable  us to collect similar information directly from their website or app by  integrating our advertising technology ."
Problematic processing clause for categories,Twitter adheres to the Digital Advertising Alliance Self-Regulatory  Principles for Online Behavioral Advertising ( also referred to as â€œ  interest-based advertising â€� ) and respects the DAA 's consumer choice  tool for you to opt out of interest-based advertising at  https://optout.aboutads.info .
Problematic processing clause for categories,"In addition , our ads policies prohibit advertisers from targeting ads  based on categories that we consider sensitive or are prohibited by law  , such as race , religion , politics , sex life , or health ."
Insufficient information clause for categories,"If you are an advertiser or a prospective advertiser , we process your  personal data to help offer and provide our advertising services ."
Insufficient information clause for categories,You can update your data in your Twitter Ads dashboard or by contacting us directly as described in this Privacy Policy .
Insufficient information clause for categories,"If you access our APIs or developer portal , we process your personal data to help provide our services ."
Problematic processing clause for categories,"We may receive information about you from third parties who are not  our ad partners , such as others on Twitter , partners who help us  evaluate the safety and quality of content on our platform , our  corporate affiliates , and other services you link to your Twitter  account ."
Unclear language clause,"When you log into Twitter on a browser or device , we will associate  that browser or device with your account for purposes such as  authentication , security , and personalization ."
Full information clause for categories,"Subject to your settings , we may also associate your account with  browsers or devices other than those you use to log into Twitter ( or  associate your logged-out device or browser with other browsers or  devices ) ."
Insufficient information clause for categories,We do this to operate and personalize our services .
Full information clause for categories,Your Twitter Personalization and data settings let you decide :
Full information clause for categories,Whether we show you interest-based ads on and off Twitter
Full information clause for categories,How we personalize your experience across devices
Full information clause for categories,Whether we collect and use your precise location
Full information clause for categories,Whether we personalize your experience based on where you 've been
Full information clause for categories,Whether we keep track of the websites where you see Twitter content
Insufficient information clause for categories,You can use Your Twitter data to review :
Insufficient information clause for categories,Advertisers who have included you in tailored audiences to serve you ads
Insufficient information clause for categories,Demographic and interest data about your account from our ads partners
Insufficient information clause for categories,"Information that Twitter has inferred about you such as your age range , gender , languages , and interests"
Insufficient information clause for categories,"We also provide a version of these tools on Twitter if you do not have  a Twitter account , or if you 're logged out of your account ."
Insufficient information clause for categories,"This lets you see the data and settings for the logged out browser or  device you are using , separate from any Twitter account that uses that  browser or device ."
Insufficient information clause for categories,"On Periscope , you can control whether we personalize your experience based on your watch history through your settings ."
Full information clause for categories,"In the limited circumstances where we disclose your private personal  data , we do so subject to your control , because it 's necessary to  operate our services , or because it 's required by law ."
Full information clause for categories,"Subject to your settings , we also provide certain third parties with personal data to help us offer or operate our services ."
Full information clause for categories,"For example , we share with advertisers the identifiers of devices  that saw their ads , to enable them to measure the effectiveness of our  advertising business ."
Problematic processing clause for categories,"We also share device identifiers , along with the interests or other  characteristics of a device or the person using it , to help partners  decide whether to serve an ad to that device or to enable them to  conduct marketing , brand analysis , interest-based advertising , or  similar activities ."
Unclear language clause,"We engage service providers to perform functions and provide services  to us in the United States , Ireland , and other countries ."
Unclear language clause,"For example , we use a variety of third-party services to help operate  our services , such as hosting our various blogs and wikis , and to  help us understand the use of our services , such as Google Analytics ."
Full information clause for categories,"We may share your private personal data with such service providers  subject to obligations consistent with this Privacy Policy and any other  appropriate confidentiality and security measures , and on the  condition that the third parties use your private personal data only on  our behalf and pursuant to our instructions ."
Full information clause for categories,"We share your payment information with payment services providers to  process payments ; prevent , detect , and investigate fraud or other  prohibited activities ; facilitate dispute resolution such as  chargebacks or refunds ; and for other purposes associated with the  acceptance of credit and debit cards ."
Unclear language clause,"Notwithstanding anything to the contrary in this Privacy Policy or  controls we may otherwise offer to you , we may preserve , use , or  disclose your personal data if we believe that it is reasonably  necessary to comply with a law , regulation , legal process , or  governmental request ; to protect the safety of any person ; to protect  the safety or integrity of our platform , including to help prevent spam  , abuse , or malicious actors on our services , or to explain why we  have removed content or accounts from our services ; to address fraud ,  security , or technical issues ; or to protect our rights or property or  the rights or property of those who use our services ."
Unclear language clause,"In the event that we are involved in a bankruptcy , merger ,  acquisition , reorganization , or sale of assets , your personal data  may be sold or transferred as part of that transaction ."
Unclear language clause,This Privacy Policy will apply to your personal data as transferred to the new entity .
Insufficient information clause for categories,"We may also disclose personal data about you to our corporate  affiliates in order to help operate our services and our affiliates '  services , including the delivery of ads ."
Insufficient information clause for categories,You control the personal data you share with us .
Insufficient information clause for categories,You can access or rectify this data at any time .
Insufficient information clause for categories,"We also provide you tools to object , restrict , or withdraw consent  where applicable for the use of data you have provided to Twitter ."
Insufficient information clause for categories,And we make the data you shared through our services portable and provide easy ways for you to contact us .
Full information clause for categories,"If you have registered an account on Twitter , we provide you with  tools and account settings to access , correct , delete , or modify the  personal data you provided to us and associated with your account.You  can download certain account information , including your Tweets , by  following the instructions here ."
Full information clause for categories,"On Periscope , you can request correction , deletion , or modification  of your personal data , and download your account information , by  following the instructions here ."
Unclear language clause,"When you are logged into your Twitter account , you can manage your  privacy settings and other account features here at any time ."
Full information clause for categories,Twitter provides you a means to download the information you have shared through our services by following the steps here .
Full information clause for categories,Periscope provides you a means to download the information you have shared through our services by following the steps here .
Insufficient information clause for categories,Thoughts or questions about this Privacy Policy ?
Insufficient information clause for categories,Please let us know by contacting us here or writing to us at the appropriate address below .
Full information clause for categories,"If you live in the United States , the data controller responsible for your personal data is Twitter , Inc. with an address of :"
Full information clause for categories,"If you live outside the United States , the data controller is Twitter International Company , with an address of :"
Insufficient information clause for categories,"If you are located in the European Union or EFTA States , you can  confidentially contact Twitter 's Data Protection Officer here ."
Full information clause for categories,"If you wish to raise a concern about our use of your information ( and  without prejudice to any other rights you may have ) , you have the  right to do so with your local supervisory authority or Twitter  International Company 's lead supervisory authority , the Irish Data  Protection Commission ."
Full information clause for categories,You can find their contact details here .
Problematic processing clause for categories,"Our services are not directed to children , and you may not use our services if you are under the age of 13 ."
Problematic processing clause for categories,You must also be old enough to consent to the processing of your  personal data in your country ( in some countries we may allow your  parent or guardian to do so on your behalf ) .
Problematic processing clause for categories,You must be at least 16 years of age to use Periscope .
Problematic processing clause for categories,"Where the laws of your country allow you to do so , you authorize us  to transfer , store , and use your data in the United States , Ireland ,  and any other country where we operate ."
Problematic processing clause for categories,"In some of the countries to which we transfer personal data , the  privacy and data protection laws and rules regarding when government  authorities may access data may vary from those of your country ."
Problematic processing clause for categories,"When we transfer personal data outside of the European Union or EFTA  States , we ensure an adequate level of protection for the rights of  data subjects based on the adequacy of the receiving country 's data  protection laws , contractual obligations placed on the recipient of the  data ( model clauses may be requested by inquiry as described below ) ,  or EU-US and Swiss-US Privacy Shield principles ."
Problematic processing clause for categories,We may revise this Privacy Policy from time to time .
Problematic processing clause for categories,The most current version of the policy will govern our processing of  your personal data and will always be at https://twitter.com/privacy .
Problematic processing clause for categories,"If we make a change to this policy that , in our sole discretion , is  material , we will notify you via an @Twitter update or email to the  email address associated with your account ."
Problematic processing clause for categories,"By continuing to access or use the Services after those changes become  effective , you agree to be bound by the revised Privacy Policy ."
None,Twitter Privacy Policy
None,"We  believe you should always know what data we collect from you and how we  use it , and that you should have meaningful control over both ."
None,We want to empower you to make the best decisions about the information that you share with us .
None,That 's the basic purpose of this Privacy Policy .
None,"You should read this policy in full , but here are a few key things we hope you take away from it :"
None,Twitter is public and Tweets are immediately viewable and searchable by anyone around the world .
None,"We give you non-public ways to communicate on Twitter too , through protected Tweets and Direct Messages ."
None,You can also use Twitter under a pseudonym if you prefer not to use your name .
None,"If  you have questions about this policy , how we collect or process your  personal data , or anything else related to our privacy practices , we  want to hear from you ."
None,You can contact us at any time .
None,1
None,Information You Share With Us
None,"For example , you must have an account in order to upload or share content on Twitter ."
None,1.1
None,Basic Account Information
None,"You  do not have to create an account to use some of our service features ,  such as searching and viewing public Twitter profiles or watching a  broadcast on Periscope 's website ."
None,"Your display name and username are always public , but you can use either your real name or a pseudonym ."
None,"You can also create and manage multiple Twitter accounts , for example to express different parts of your identity ."
None,1.2
None,Public Information
None,"Any  hearts , comments , or other content you contribute to another account  's broadcast will remain part of that broadcast for as long as it  remains on Periscope ."
None,"If  you update your public information on Twitter , such as by deleting a  Tweet or deactivating your account , we will reflect your updated  content on Twitter.com , Twitter for iOS , and Twitter for Android ."
None,"We have standard terms that govern how this data can be used , and a compliance program to enforce these terms ."
None,"But  these individuals and companies are not affiliated with Twitter , and  their offerings may not reflect updates you make on Twitter ."
None,"For more information about how we make public data on Twitter available to the world , visit https://developer.twitter.com ."
None,1.3
None,Contact Information and Address Books
None,You can use your settings for email and mobile notifications to control notifications you receive from Twitter .
None,You can also unsubscribe from a notification by following the instructions contained within the notification or here .
None,"You  can sign up for Periscope with an account from another service like  Twitter , Google , or Facebook , or connect your Periscope account to  these other services ."
None,You can control whether your Periscope account is discoverable by email through your Periscope settings .
None,1.4
None,Direct Messages and Non-Public Communications
None,We provide certain features that let you communicate more privately or control who sees your content .
None,"For  example , you can use Direct Messages to have non-public conversations  on Twitter , protect your Tweets , or host private broadcasts on  Periscope ."
None,We share the content of your Direct Messages with the people you 've sent them to ; we do not use them to serve you ads .
None,"Note  that if you interact in a way that would ordinarily be public with  Twitter content shared with you via Direct Message , for instance by  liking a Tweet , those interactions will be public ."
None,"When  you use features like Direct Messages to communicate , remember that  recipients have their own copy of your communications on Twitter - even  if you delete your copy of those messages from your account - which they  may duplicate , store , or re-share ."
None,1.5
None,Payment Information
None,1.6
None,How You Control the Information You Share with Us
None,Additional Information We Receive About You
None,2.1
None,Location Information
None,"Learn more about Twitter 's use of location here , and how to set your Twitter location preferences here ."
None,Learn more about how to share your location in Periscope broadcasts here .
None,2.2
None,Links
None,2.3
None,Cookies
None,A cookie is a small piece of data that is stored on your computer or mobile device .
None,"Like  many websites , we use cookies and similar technologies to collect  additional website usage data and to operate our services ."
None,Cookies are not required for many parts of our services such as searching and looking at public profiles .
None,"Although  most web browsers automatically accept cookies , many browsers '  settings can be set to decline cookies or alert you when a website is  attempting to place a cookie on your computer ."
None,"However , some of our services may not function properly if you disable cookies ."
None,"When  your browser or device allows it , we use both session cookies and  persistent cookies to better understand how you interact with our  services , to monitor aggregate usage patterns , and to personalize and  otherwise operate our services such as by providing account security ,  personalizing the content we show you including ads , and remembering  your language preferences ."
None,We do not support the Do Not Track browser option .
None,You can learn more about how we use cookies and similar technologies here .
None,2.4
None,Log Data
None,"For example , we use Log Data to protect the security of accounts and to determine what content is popular on our services ."
None,2.5
None,Twitter for Web Data
None,"We  do not associate this web browsing history with your name , email  address , phone number , or username , and we delete , obfuscate , or  aggregate it after no longer than 30 days ."
None,We do not collect this data from browsers that we believe to be located in the European Union or EFTA States .
None,2.6
None,Advertisers and Other Ad Partners
None,Advertising revenue allows us to support and improve our services .
None,Learn more about your privacy options for interest-based ads here and about how ads work on our services here .
None,2.7
None,Developers
None,You can update your data by contacting us directly as described in this Privacy Policy .
None,2.8
None,Other Third Parties and Affiliates
None,"You  may choose to connect your Twitter account to accounts on another  service , and that other service may send us information about your  account on that service ."
None,"We  use the information we receive to provide you features like  cross-posting or cross-service authentication , and to operate our  services ."
None,"For  integrations that Twitter formally supports , you may revoke this  permission at any time from your application settings ; for other  integrations , please visit the other service you have connected to  Twitter ."
None,2.9
None,Personalizing Across Your Devices
None,"For  example , if you visit websites with sports content on your laptop , we  may show you sports-related ads on Twitter for Android ."
None,2.10
None,How You Control Additional Information We Receive
None,Information We Share and Disclose
None,"As noted above , Twitter is designed to broadly and instantly disseminate information you share publicly through our services ."
None,3.1
None,Sharing You Control
None,"We  share or disclose your personal data with your consent or at your  direction , such as when you authorize a third-party web client or  application to access your account or when you direct us to share your  feedback with a business ."
None,"If  you 've shared information like Direct Messages or protected Tweets  with someone else who accesses Twitter through a third-party service ,  keep in mind that the information may be shared with the third-party  service ."
None,"You  can learn more about these partnerships in our Help Center , and you  can control whether Twitter shares your personal data in this way by  using the â€œ Share your data with Twitter 's business partners â€�  option in your Personalization and Data settings ."
None,"(  This setting does not control sharing described elsewhere in our  Privacy Policy , such as when we share data with our service providers .  )"
None,"The  information we share with these partners does not include your name ,  email address , phone number , or Twitter username , but some of these  partnerships allow the information we share to be linked to other  personal information if the partner gets your consent first ."
None,3.2
None,Service Providers
None,3.3
None,"Law , Harm , and the Public Interest"
None,"However  , nothing in this Privacy Policy is intended to limit any legal  defenses or objections that you may have to a third party 's , including  a government 's , request to disclose your personal data ."
